İlçe,province,"Kayıtlı seçmen
sayısı","Oy kullanan seçmen
sayısı ve oranı (%)","Gecerli oy
sayısı",AK PARTİ,MHP,DYP,CHP,SAADET PARTİSİ,GENÇ PARTİ,"Sandık
sayısı",ANAP,DSP,BTP,İP,TKP
Merkez,Afyon,75839,62688,60650,30740,20833,3149,2950,1232,988,309,276,240,110,88,44
Başmakçı,Afyon,4461,3972,3765,1111,846,466,820,10,45,20,453,,14,,
Bayat,Afyon,3117,2769,2621,1052,25,612,766,3,9,12,,143,11,,
Bolvadin,Afyon,19043,16369,15778,7083,3677,4388,248,186,96,87,,,22,,
Çay,Afyon,9822,8132,7813,2991,460,2732,1565,12,22,42,13,,18,,
Çobanlar,Afyon,4833,4615,4445,2592,1371,,379,,86,19,,,17,,
Dazkırı,Afyon,3373,2920,2820,1148,1058,19,414,1,16,14,157,,7,,
Dinar,Afyon,16407,13422,12832,5885,981,2449,2562,351,66,71,,,33,,
Emirdağ,Afyon,13082,9938,9627,5791,,,3692,69,52,48,,,23,,
Evciler,Afyon,2939,2604,2508,842,,1281,378,,3,11,,,4,,
Hocalar,Afyon,2009,1755,1645,492,67,118,241,84,90,8,,91,18,,
İhsaniye,Afyon,1566,1373,1319,960,,343,,4,9,9,,,3,,
İscehisar,Afyon,6621,5952,5761,1821,2120,1571,,136,14,27,,,14,,
Kızılören,Afyon,1884,1652,1603,723,36,,,3,5,7,,,14,,
Sandıklı,Afyon,17113,14156,13553,7257,4811,412,743,117,55,65,38,,56,,
Sinanpaşa (Sincanlı),Afyon,3347,2883,2693,1167,86,575,842,5,11,13,,,7,,
Sultandağı,Afyon,4567,3915,3683,825,253,1744,827,,29,19,,,5,,
Şuhut,Afyon,8448,7249,6926,1497,1531,1803,2033,32,10,35,,,20,,